Classification,Summary
Add issue,The core is dumped by the API call Document->createComment.
Add issue,The API call 'CreateComment' causes a core dump.
Add issue,The createProcessingInstruction method of the Document causes a core dump.
Add issue,The createProcessingInstruction function of the document causes a core dump.
Add issue,The 'Document createProcessingInstruction' method produces a core dump.
Add issue,The createProcessingInstruction method of the document results in a core dump.
Add issue,requirement for organized tools/technology system
Add issue,"""Require a managed system of tools and software infrastructure"""
Add issue,'Require a controlled suite of tools and software for infrastructure management'
Add issue,Require supervised tools/system framework.
Add issue,I would like to ask for authorization to access an SSH account in order to transfer files to ftp.mozilla.org.
Add issue,I am submitting a formal request for a SSH account in order to have the capability to upload files onto ftp.mozilla.org.
Add issue,I am asking for an SSH account so that I may have permission to upload files onto ftp.mozilla.org.
Add issue,'Required access to SSH account in order to transfer files to ftp.mozilla.org'
Add issue,'Remember to carry out testing of IMAP server preferences migration using the user interface'
Add issue,Reminder for Quality Assurance: Test the preferences migration of the IMAP server with the user interface.
Add issue,Please be reminded to test the migration of server preferences for IMAP with the user interface.
Add issue,"""Reminder for Quality Assurance: Perform testing of IMAP server preferences migration using the user interface."""
Add issue,"""Please note: a QA reminder to conduct a retest of address preferences migration after the UI issue has been resolved."""
Add issue,A QA reminder has been issued to retest the migration address preferences after the UI issue has been fixed.
Add issue,Reminder for QA: Please retest the migration of address preferences after the user interface has been fixed.
Add issue,Reminder for QA: Please perform retesting on the migration address preferences after the user interface issue has been fixed.
Add issue,To introduce a fresh compilation parameter for differentiating between Windows and ATK programming.
Add issue,To include a fresh compilation option to differentiate between Windows and ATK code.
Add issue,To incorporate a fresh compile option for differentiating between Windows and ATK code.
Add issue,To insert a fresh compile option that separates Windows and ATK code.
Add issue,The REXX script for creating a Desktop folder in OS/2.
Add issue,Generate REXX script for OS/2 to make a Desktop directory.
Add issue,"""Generate Desktop directory REXX command for OS/2."""
Add issue,'Generate REXX script to create a Desktop folder for OS/2.'
Add issue,The inclusion of nsIStreamObserver in its QI method is required by nsMultiMixedConverter.
Add issue,The addition of nsIStreamObserver is necessary in the QI method of nsMultiMixedConverter.
Add issue,The QI method in nsMultiMixedConverter must include nsIStreamObserver.
Add issue,The nsMultiMixedConverter requires the inclusion of nsIStreamObserver in its QI method.
Add issue,Convert nsFileChannel to utilize nsIFile
Add issue,Modify the Port nsFileChannel to utilize nsIFile
Add issue,Revamp nsFileChannel to incorporate nsIFile
Add issue,Change nsFileChannel to utilize nsIFile.
Add issue,Discuss the ownership arrangement for the webshell through negotiation.
Add issue,'Reach a mutual agreement on the ownership structure of the webshell.'
Add issue,Come to an agreement on the webshell ownership structure.
Add issue,Discuss options for controlling ownership of webshells.
Add issue,mistakes in your written record
Add issue,mistakes in your written records;
Add issue,Mistakes in your records;
Add issue,mistakes in your written records;
Add issue,The web link utilizes an .html extension.
Add issue,The resource's link utilizes the .html extension.
Add issue,The URL for the resource utilizes the .html file format.
Add issue,The resource's link includes the .html extension.
Add issue,The function EARFileImpl.saveAsNoReopen does not contain the application.xml file.
Add issue,The function EARFileImpl.saveAsNoReopen does not contain application.xml.
Add issue,The functionality of EARFileImpl.saveAsNoReopen does not encompass the inclusion of application.xml.
Add issue,The function 'EARFileImpl.saveAsNoReopen' does not consist of 'application.xml'.
Add issue,The j2ee extension for custom extensions in navigator requires assistance for its activation.
Add issue,The j2ee extension needs to be enabled in order to utilize its own customized extensions on the navigator.
Add issue,'Assistance is required to activate the j2ee extension in order to utilize its unique additional features within the navigator.'
Add issue,'Require the activation of the j2ee extension in order to utilize its own specialized features within the navigator.'
Add issue,Create HTML test summaries.
Add issue,Produce HTML assessment results.
Add issue,Create HTML test results documents.
Add issue,Create HTML reports for testing purposes.
Add issue,Agents are not informed of the observer/controller's status by AC.
Add issue,AC does not convey observer/controller status to agents.
Add issue,Agents are not informed of the status of the observer/controller by AC.
Add issue,The status of observer/controller is not reported to agents by AC.
Add issue,The agent controller is unable to shut down the agents.
Add issue,The Agent Controller does not terminate agents.
Add issue,The Agent Controller does not power down the agents.
Add issue,The Agent Controller does not bring agents to a stop.
Add issue,It is not possible to use only the keyboard to set focus on a testcase invocation in terms of accessibility.
